TITLE = "2D mesh with final value"
VARIABLES = "X" "Y" "scalar" "diff"
ZONE I=202, J=202, F=POINT
1.91625 -0.00875 900 0
1.93375 -0.00875 900 0
1.95125 -0.00875 900 0
1.96875 -0.00875 900 0
1.98625 -0.00875 900 0
2.00375 -0.00875 900 0
2.02125 -0.00875 900 0
2.03875 -0.00875 900 0
2.05625 -0.00875 900 0
2.07375 -0.00875 900 0
2.09125 -0.00875 900 0
2.10875 -0.00875 900 0
2.12625 -0.00875 900 0
2.14375 -0.00875 900 0
2.16125 -0.00875 900 0
2.17875 -0.00875 900 0
2.19625 -0.00875 900 0
2.21375 -0.00875 900 0
2.23125 -0.00875 900 0
2.24875 -0.00875 900 0
2.26625 -0.00875 900 0
2.28375 -0.00875 900 0
2.30125 -0.00875 900 0
2.31875 -0.00875 900 0
2.33625 -0.00875 900 0
2.35375 -0.00875 900 0
2.37125 -0.00875 900 0
2.38875 -0.00875 900 0
2.40625 -0.00875 900 0
2.42375 -0.00875 900 0
2.44125 -0.00875 900 0
2.45875 -0.00875 900 0
2.47625 -0.00875 900 0
2.49375 -0.00875 900 0
2.51125 -0.00875 900 0
2.52875 -0.00875 900 0
2.54625 -0.00875 900 0
2.56375 -0.00875 900 0
2.58125 -0.00875 900 0
2.59875 -0.00875 900 0
2.61625 -0.00875 900 0
2.63375 -0.00875 900 0
2.65125 -0.00875 900 0
2.66875 -0.00875 900 0
2.68625 -0.00875 900 0
2.70375 -0.00875 900 0
2.72125 -0.00875 900 0
2.73875 -0.00875 900 0
2.75625 -0.00875 900 0
2.77375 -0.00875 900 0
2.79125 -0.00875 900 0
2.80875 -0.00875 900 0
2.82625 -0.00875 900 0
2.84375 -0.00875 900 0
2.86125 -0.00875 900 0
2.87875 -0.00875 900 0
2.89625 -0.00875 900 0
2.91375 -0.00875 900 0
2.93125 -0.00875 900 0
2.94875 -0.00875 900 0
2.96625 -0.00875 900 0
2.98375 -0.00875 900 0
3.00125 -0.00875 900 0
3.01875 -0.00875 900 0
3.03625 -0.00875 900 0
3.05375 -0.00875 900 0
3.07125 -0.00875 900 0
3.08875 -0.00875 900 0
3.10625 -0.00875 900 0
3.12375 -0.00875 900 0
3.14125 -0.00875 900 0
3.15875 -0.00875 900 0
3.17625 -0.00875 900 0
3.19375 -0.00875 900 0
3.21125 -0.00875 900 0
3.22875 -0.00875 900 0
3.24625 -0.00875 900 0
3.26375 -0.00875 900 0
3.28125 -0.00875 900 0
3.29875 -0.00875 900 0
3.31625 -0.00875 900 0
3.33375 -0.00875 900 0
3.35125 -0.00875 900 0
3.36875 -0.00875 900 0
3.38625 -0.00875 900 0
3.40375 -0.00875 900 0
3.42125 -0.00875 900 0
3.43875 -0.00875 900 0
3.45625 -0.00875 900 0
3.47375 -0.00875 900 0
3.49125 -0.00875 900 0
3.50875 -0.00875 850 0
-0.00875 0.00875 400 0
0.00875 0.00875 650.003 1.4893e-10
0.02625 0.00875 748.832 3.17982e-10
0.04375 0.00875 795.314 4.79758e-10
0.06125 0.00875 820.763 6.43922e-10
0.07875 0.00875 836.451 8.02743e-10
0.09625 0.00875 847.001 9.66111e-10
0.11375 0.00875 854.562 1.12698e-09
0.13125 0.00875 860.241 1.28398e-09
0.14875 0.00875 864.661 1.44655e-09
0.16625 0.00875 868.199 1.60696e-09
0.18375 0.00875 871.094 1.76237e-09
0.20125 0.00875 873.507 1.92108e-09
0.21875 0.00875 875.55 2.08217e-09
0.23625 0.00875 877.302 2.23918e-09
0.25375 0.00875 878.82 2.39322e-09
0.27125 0.00875 880.149 2.54909e-09
0.28875 0.00875 881.322 2.70722e-09
0.30625 0.00875 882.364 2.86389e-09
0.32375 0.00875 883.298 3.01691e-09
0.34125 0.00875 884.138 3.16834e-09
0.35875 0.00875 884.898 3.32068e-09
0.37625 0.00875 885.59 3.47416e-09
0.39375 0.00875 886.221 3.62718e-09
0.41125 0.00875 886.801 3.77815e-09
0.42875 0.00875 887.334 3.9264e-09
0.44625 0.00875 887.826 4.07329e-09
0.46375 0.00875 888.282 4.21983e-09
0.48125 0.00875 888.705 4.3666e-09
0.49875 0.00875 889.1 4.51325e-09
0.51625 0.00875 889.468 4.65877e-09
0.53375 0.00875 889.813 4.80247e-09
0.55125 0.00875 890.136 4.94401e-09
0.56875 0.00875 890.44 5.08373e-09
0.58625 0.00875 890.726 5.22209e-09
0.60375 0.00875 890.995 5.35977e-09
0.62125 0.00875 891.25 5.49676e-09
0.63875 0.00875 891.492 5.63307e-09
0.65625 0.00875 891.72 5.76824e-09
0.67375 0.00875 891.937 5.90182e-09
0.69125 0.00875 892.143 6.03359e-09
0.70875 0.00875 892.34 6.16342e-09
0.72625 0.00875 892.527 6.2912e-09
0.74375 0.00875 892.705 6.41728e-09
0.76125 0.00875 892.875 6.54177e-09
0.77875 0.00875 893.038 6.665e-09
0.79625 0.00875 893.194 6.78688e-09
0.81375 0.00875 893.343 6.9075e-09
0.83125 0.00875 893.486 7.02676e-09
0.84875 0.00875 893.623 7.14431e-09
0.86625 0.00875 893.755 7.26016e-09
0.88375 0.00875 893.882 7.37396e-09
0.90125 0.00875 894.004 7.48582e-09
0.91875 0.00875 894.121 7.59565e-09
0.93625 0.00875 894.234 7.70319e-09
0.95375 0.00875 894.343 7.80892e-09
0.97125 0.00875 894.448 7.9126e-09
0.98875 0.00875 894.55 8.01447e-09
1.00625 0.00875 894.647 8.11451e-09
1.02375 0.00875 894.742 8.21285e-09
1.04125 0.00875 894.834 8.30914e-09
1.05875 0.00875 894.922 8.40373e-09
1.07625 0.00875 895.008 8.49627e-09
1.09375 0.00875 895.091 8.58677e-09
1.11125 0.00875 895.171 8.67522e-09
1.12875 0.00875 895.249 8.76139e-09
1.14625 0.00875 895.324 8.84529e-09
1.16375 0.00875 895.398 8.92692e-09
1.18125 0.00875 895.469 9.00627e-09
1.19875 0.00875 895.538 9.08335e-09
1.21625 0.00875 895.605 9.15816e-09
1.23375 0.00875 895.67 9.23069e-09
1.25125 0.00875 895.733 9.30095e-09
1.26875 0.00875 895.795 9.36905e-09
1.28625 0.00875 895.855 9.43487e-09
1.30375 0.00875 895.913 9.49842e-09
1.32125 0.00875 895.97 9.5597e-09
1.33875 0.00875 896.025 9.6187e-09
1.35625 0.00875 896.079 9.67555e-09
1.37375 0.00875 896.131 9.73e-09
1.39125 0.00875 896.182 9.78207e-09
1.40875 0.00875 896.232 9.83187e-09
